created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 22:17:07 +0000 2023;1718391472087851103;"Prabowo Lirik Rudal Buatan Kampus Muhammadiyah di Yogyakarta - CNN Indonesia https://t.co/366FSmnrXw #Jokowinomics #MenataMasaDepan #PrabowoPetugasRakyat";0;0;7;0;in;4579831158;1718391472087851103;ChairudinN6548;https://twitter.com/ChairudinN6548/status/1718391472087851103
Sat Oct 28 22:16:53 +0000 2023;1718391412188930193;"@prabowoisme Ayahbowo percaya Masgibran seorang tokoh muda yg mampu lebih open ketika mempertimbangkan bermacam arah pemikiran.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra https://t.co/JtyRgMC6qn";0;0;0;0;in;1713185005613338624;1718119053460668787;LianaLinni;https://twitter.com/LianaLinni/status/1718391412188930193
Sat Oct 28 22:16:48 +0000 2023;1718391390533718506;"@seruanhl @bahlillahadalia @ch_chotimah2 @03__nakula @Aryprasetyo85 @AntoniusCDN @B3doel___ @B1nt4ng_K1r4r4 @BiLLRaY2019 @Eil_Thia @NgkongRoses @RenaHoston178 Aturan ini berlaku juga untuk anak Puan, kalau tahun 2029 mau jadi calon presiden/calon wapres. Maka pendukung Ganjar beda lagi narasinya. Intinya kalian takut kalah dengan Prabowo maka dibangun narasi2 mengubah aturan sesuai kemauan Jokowi. https://t.co/zmH0qfNkde";0;1;1;0;in;2549499816;1718322795988529214;SuryaWira88;https://twitter.com/SuryaWira88/status/1718391390533718506
Sat Oct 28 22:16:44 +0000 2023;1718391373609791710;"@Abaaah Tapi kok bisa nya @SBYudhoyono @AgusYudhoyono @PDemokrat @prabowo @ganjarpranowo ingin melanjutkan program 2 @jokowi 😂😂😂😂😂😂";0;0;0;0;in;1603626819898331136;1662022850205859841;denihartono513;https://twitter.com/denihartono513/status/1718391373609791710
Sat Oct 28 22:16:09 +0000 2023;1718391228260360265;"@H4T14K4LN4L42 @prabowo Semoga ICW dan MAKI mengusut nya";0;0;0;1;in;1383808773102264323;1718309805717324270;DeddyKusdedi3;https://twitter.com/DeddyKusdedi3/status/1718391228260360265
Sat Oct 28 22:15:57 +0000 2023;1718391176536240189;"@H4T14K4LN4L42 @prabowo @gibran_tweet Tidak mau ketipu yg ke 2x lah.., Rakyat disuruh pegang Kartu Pra Kerja, yg kerja malah TKA Tiongkok.";0;0;0;0;in;1353382850255458305;1718295017700401654;Sugik_Zigzag;https://twitter.com/Sugik_Zigzag/status/1718391176536240189
Sat Oct 28 22:15:21 +0000 2023;1718391027986489790;"Untuk para Korban dan keluarga dari kasus Pelanggaran HAM berat di Indonesia, termasuk Papua sebaiknya mendukung Prabowo Subianto menjadi Presiden Republik Indonesia, karena yang harus bertanggungjawab atas kasus pelanggaran HAM berat adalah Negara.";0;0;0;0;in;705368198753878016;1718391027986489790;matius_murib;https://twitter.com/matius_murib/status/1718391027986489790
Sat Oct 28 22:15:04 +0000 2023;1718390955152462109;"@NichNach8 @AzadiRio @tjitrosoenarjo1 Bicara prabowo tdk ada yg di banggakan dgn perbandingan saat itu  Militer kopassus 👎👎👎 Jabatan nya di dukung oleh kekuatan keluarga nya dan juga Suharto  Kemenhan 👎👎👎 Bikin perusahaan dgn anggota dari kader Gerindra untuk mengelola keuangan  Dpt Komisi = korupsi";0;0;0;0;in;1672906446248513537;1718084121464025378;Erdi36913;https://twitter.com/Erdi36913/status/1718390955152462109
Sat Oct 28 22:14:35 +0000 2023;1718390834234814708;"@prabowoisme Bener2 asik, Ayahbowo tahu generasi muda memiliki keberanian untuk mengambil risiko dan menyelesaikan permasalahan dengan keyakinan diri.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra";0;0;0;0;in;1713185400125288448;1718119053460668787;RsysnaVinka;https://twitter.com/RsysnaVinka/status/1718390834234814708
Sat Oct 28 22:14:32 +0000 2023;1718390820456554824;"@AndreasSolusi @ganjarpranowo @prabowo @jokowi @gibran_tweet Halahhhh sok sok an lu, lu gk inget apa dulu pak jokowi di bilang pki lah plonga plongo lah, bahkan ada yg membuat meme yg akhirnya masuk penjara, lu kok diem aja, giliran di senggol dikit, nangis, cemen lu";0;0;0;0;in;818073306670604289;1718088873795002660;wignyo_sinyo007;https://twitter.com/wignyo_sinyo007/status/1718390820456554824
Sat Oct 28 22:14:23 +0000 2023;1718390781508276627;"Yenny Wahid Pilih Dukung Ganjar-Mahfud, Nusron Wahid: InsyaAllah Prabowo Jadi Presiden Sesuai Kata Gus Dur https://t.co/UybYbzpRRl";3;13;15;19;in;887743587579944960;1718390781508276627;OposisiCerdas;https://twitter.com/OposisiCerdas/status/1718390781508276627
Sat Oct 28 22:13:41 +0000 2023;1718390604835762645;"Anies-Muhaimin menggunakan frasa ”8 Jalan Perubahan” sebagai misi bakal capres-cawapres. Adapun  Ganjar-Mahfud memilih ”8 Gerak Cepat Ganjar Pranowo &amp  Mahfud MD”, sedangkan Prabowo-Gibran memakai frasa ”Asta Cita" #Polhuk #AdadiKompas   https://t.co/lIJt3W8dkd";0;0;0;0;in;771030588;1718390604835762645;KompasData;https://twitter.com/KompasData/status/1718390604835762645
Sat Oct 28 22:12:54 +0000 2023;1718390410446504263;"@TyoGreack @KompasTV Kenapa ga ke prabowo gibran ya?";0;1;0;0;in;1263432719423336449;1718261227313561798;jinjaneo;https://twitter.com/jinjaneo/status/1718390410446504263
Sat Oct 28 22:12:21 +0000 2023;1718390271787053354;"@prabowoisme Ayahbowo percaya Masgibran seorang pemimpin muda yg bisa lebih open dalam mengkalkulasi berbagai sudut pemikiran.  BanyakDeklarasi MasbowoGibran Waktunya Anak Muda Tampil  #AkuRelawanPrabowoGibran @prabowo @gerindra";0;0;0;0;in;1713179175849488384;1718119053460668787;laura_salsha;https://twitter.com/laura_salsha/status/1718390271787053354
Sat Oct 28 22:12:20 +0000 2023;1718390267823501404;"Capres Gama @ganjarpranowo @mohmahfudmd  sibuk klarifikasi ke @kikysaputrii   jleb tenan Capres Jendral @prabowo  @gibran_tweet  sibuk klarifikasi .. gak peduli anak siapa yg penting anak muda cawapres . 😳 ah masaaa Capres Amin @aniesbaswedan @cakimiNOW sibuk Olah raga  🤣";0;2;3;19;in;78392421;1718390267823501404;GibraltarNc;https://twitter.com/GibraltarNc/status/1718390267823501404
Sat Oct 28 22:12:09 +0000 2023;1718390219488268716;"@hc_poirot Ini yang dinamakan ilmu orang solo "kata Prabowo" https://t.co/TCwVzxdOIG";0;0;0;1;in;1657175017959088128;1718280345072894062;Ibrahim03568145;https://twitter.com/Ibrahim03568145/status/1718390219488268716
Sat Oct 28 22:11:10 +0000 2023;1718389971986612427;"Semakin pagi semakin berpikir, benar kata teman “pemilu cuma ada 3 AmIN, pak prabowo atau golput” Turu ae met pagi 🙌";0;0;0;0;in;1076937628241424384;1718389971986612427;kaspoww;https://twitter.com/kaspoww/status/1718389971986612427
Sat Oct 28 22:10:49 +0000 2023;1718389884262785439;"@Syarman59 @jokowi @prabowo @SBYudhoyono Betul! Stlh top, Anggap remeh banget PDIP, teman2 iring bergantian ke tiap kelurahan, blm ada itu Projo. Hingga Ujung komp.Tahu &amp tempe Kopti Kel. Setu, Lobangbuaya, Cakung dll. Kini justru ngentutin. Sopan";0;0;0;1;in;948751735392120832;1718151855833018493;Rfadlis1;https://twitter.com/Rfadlis1/status/1718389884262785439
Sat Oct 28 22:10:25 +0000 2023;1718389782982857163;"@BangPakat @willsarana Setuju bang pakat, jokowi masa lalu.. masa depan ya pak ganjar, pak anies ato pak prabowo..";0;0;0;0;in;426444880;1718260232525381656;pimenimiklegi;https://twitter.com/pimenimiklegi/status/1718389782982857163
Sat Oct 28 22:10:03 +0000 2023;1718389694168449507;"Lahan dikasih KLHK, land clearing oleh PUPR, kajian tanah &amp  pembibitan oleh kementan + bappenas, penyediaan bibit oleh kementan, anggaran dipegang kementan, kemenhan sebagai enabler. Kerjaan lintas kementerian yg disalahin prabowo. emang anies sukses di dki? banyak gagalnya jg";0;2;0;4;in;93199886;1718389694168449507;klipfahri;https://twitter.com/klipfahri/status/1718389694168449507
