created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 10:10:07 +0000 2023;1718208513791631701;"Yenny Wahid resmi dukung Ganjar-Mahfud untuk pilpres 2024👍  || Wadas WA DI BIO Kiky The UN U-20 Israel STOP THE GENOCIDE Unilever Philippines 28 Oktober Ya Allah Innalillahi Mr Beast Croatia || https://t.co/Bp6MpM0NsK";1;0;5;10;in;1598605658231754753;1718208513791631701;ArtantiHaira34;https://twitter.com/ArtantiHaira34/status/1718208513791631701
Sat Oct 28 10:09:30 +0000 2023;1718208358325604562;"Yenny Wahid resmi mendukung Capres Cawapres, Ganjar Pranowo-Mahfud MD di Pilpres 2024.  Kiky Wadas STOP THE GENOCIDE Unilever U-20 Ya Allah Austria https://t.co/RFI3CmSQpq";0;0;4;8;in;1533697678613565440;1718208358325604562;mediaterkin1;https://twitter.com/mediaterkin1/status/1718208358325604562
Sat Oct 28 09:58:34 +0000 2023;1718205608640569506;"Pada pilpres 2024 kita dihadapkan pada tiga Calon Presiden :  1. Prabowo Subianto (Penyakitan, sudah dua kali terkena Stroke). 2. Anies Baswedan (Dungu dan tidak waras). 3. Ganjar Pranowo (Sehat, waras dan berpikiran jernih)  Calon Presiden manakah yang anda pilih ??";0;0;0;0;in;1580162296894361602;1718205608640569506;Muliandousa;https://twitter.com/Muliandousa/status/1718205608640569506
Sat Oct 28 09:50:01 +0000 2023;1718203456949723460;"Hasto menegaskan, Megawati dan PDIP sedang fokus memperkuat akar rumput untuk memenangkan pasangan capres-cawapres Ganjar Pranowo dan Mahfud MD di Pilpres 2024.  https://t.co/fG04Ew0Pxe  ____ #VIVACOID #Prabowosubianto #megawati https://t.co/6qu2KSqFc6";0;24;1;24;in;41730943;1718203456949723460;VIVAcoid;https://twitter.com/VIVAcoid/status/1718203456949723460
Sat Oct 28 09:50:01 +0000 2023;1718203455662354863;"TPN Ganjar tak Gentar ada Anak Presiden di Pertarungan Pilpres 2024   https://t.co/sZPiuEwCw5 lewat @tribunnews";0;0;0;0;in;1449955921312960513;1718203455662354863;tribunambonnews;https://twitter.com/tribunambonnews/status/1718203455662354863
Sat Oct 28 09:48:54 +0000 2023;1718203176502034812;"Yenny wahid nyatakan dukungan untuk Ganjar-Mahfud pada Pilpres 2024  Wadas Kiky Megawati Fuji U-20 Israel Unilever 28 Oktober STOP THE GENOCIDE Ya Allah Yenny Wahid ALWAYS WITH KARINA Fajri Halloween Gus Dur https://t.co/ugro7zuXAg";0;0;1;2;in;1639178213019746304;1718203176502034812;DarmayaR123;https://twitter.com/DarmayaR123/status/1718203176502034812
Sat Oct 28 09:45:02 +0000 2023;1718202201188024619;"Tanggal 28 Oktober 2023 Hari Sumpah Pemuda juga bertepatan dengan hari ulang tahun pak Ganjar Pranowo yang ke 55.  Rahayu Pak Ganjar Doa terbaik untuk pak Ganjar, sukses di Pilpres 2024 &amp  terpilih jadi presiden RI ke 8. https://t.co/L5HHrUz17A";0;1;13;24;in;1325364675534467073;1718202201188024619;__wantaNKRI;https://twitter.com/__wantaNKRI/status/1718202201188024619
Sat Oct 28 09:43:18 +0000 2023;1718201768159711520;"@SiaranBolaLive @kikysaputrii U20 ternyata pahit bagi tim dan ybs ganjar , ingat itu saat pilpres 😠";0;0;0;0;in;1576467442280280064;1718163710320206244;pewestyle;https://twitter.com/pewestyle/status/1718201768159711520
Sat Oct 28 09:39:04 +0000 2023;1718200699396502003;"@s4_mijo @ganjarpranowo Rahayu Pak Ganjar, selamat ulang tahun, sehat selalu makin sukses dan dapat menang di pilpres nanti🥰🥰";0;0;1;1;in;1556925232698789889;1718131680773587382;SNnnnnn25;https://twitter.com/SNnnnnn25/status/1718200699396502003
Sat Oct 28 09:37:35 +0000 2023;1718200328686796975;"@kiki_daliyo Rahayu Pak Ganjar Semoga Allah senantiasa memberikan kesehatan umur yang panjang bahagia selalu sukses untuk pilpres nanti Amiin https://t.co/a9AeyNV5I0";0;0;0;0;in;1703702988664262656;1718142795444298162;ikaadelia707;https://twitter.com/ikaadelia707/status/1718200328686796975
